ticker,timeframe,n_mu,x_zero,bear_alloc,fast_period,slow_period,in_sample_sharpe,in_sample_return,mc_sharpe_mean,mc_sharpe_std,mc_robust_sharpe,wf_pos_sharpe_frac,wf_mean_sharpe,wf_worst_return,runtime_s
AAPL,1h,1,0.0,0.0,8,21,0.17181458760116813,0.2192359559435353,0.11291807480777796,0.3516395454810976,0.32111881686483373,0.3684210526315789,0.12409416653549821,-0.08396168975231366,0.2034006118774414
AAPL,1h,1,0.0,0.0,9,21,0.15026823995795946,0.18092394965677316,0.1375368717863294,0.34265665663932726,0.4013839192130379,0.3684210526315789,0.08594701852910332,-0.08396168975231366,0.2073838710784912
AAPL,1h,1,0.0,0.0,10,30,0.26863184419767544,0.402995770762423,0.24679706795940026,0.33070934925592577,0.7462657723910056,0.25,0.040242171309377184,-0.058782472514657846,0.21596980094909668
AAPL,1h,1,0.0,0.0,12,26,0.3080754353945531,0.48722351782437245,0.29686720068891015,0.33168291685405066,0.895033134370136,0.27631578947368424,0.0960534759145764,-0.07970201326768933,0.2063131332397461
AAPL,1h,1,0.0,0.0,20,50,0.20581762664587422,0.28972473276145805,0.1361720308238381,0.39357676348132564,0.34598595104890933,0.039473684210526314,0.027097623699808993,-0.004153328149983038,0.1895427703857422
AAPL,1h,1,0.0,0.25,8,21,0.37165830355477614,0.3767468124641975,0.36493382885806713,0.057479848547932096,6.348900320322714,0.8289473684210527,1.1008925236030536,-0.027038539808219464,0.20623540878295898
AAPL,1h,1,0.0,0.25,9,21,0.36182336718680436,0.32135497514348965,0.3651228451942125,0.0591956099781113,6.168073026517061,0.8026315789473685,1.0300092020813127,-0.027038539808219464,0.20268797874450684
AAPL,1h,1,0.0,0.25,10,30,0.3178234890563328,0.31262488995289894,0.3343382784821235,0.054540109601231915,6.1301358014610905,0.5657894736842105,0.6742033815800184,-0.028533386988173315,0.2012488842010498
AAPL,1h,1,0.0,0.25,12,26,0.32592089002800073,0.4115708144004542,0.3425206358864905,0.05250056593197809,6.524132260407906,0.618421052631579,0.7877019654822218,-0.03185672164746545,0.18980193138122559
AAPL,1h,1,0.0,0.25,20,50,0.24162008587946598,0.18065679869552675,0.2677466428727602,0.06321184991599164,4.235703325066339,0.10526315789473684,0.1591788488272007,-0.004153328149983038,0.1822652816772461
AAPL,1h,1,0.0,0.5,8,21,0.6335136904741906,0.4885270262168466,0.627980832534427,0.05425708101224559,11.574172823501037,0.8289473684210527,1.1948616558100884,-0.03810106049114703,0.19413995742797852
AAPL,1h,1,0.0,0.5,9,21,0.6190499050660636,0.4151876289612566,0.6238544684752481,0.057138639600688455,10.91825904213042,0.8026315789473685,1.1118494180379108,-0.03810106049114703,0.1908731460571289
AAPL,1h,1,0.0,0.5,10,30,0.5315051248789414,0.22426062648248912,0.5418200484125112,0.049430677207173444,10.961210305528276,0.5657894736842105,0.7179723351268087,-0.03757877061813841,0.20461320877075195
AAPL,1h,1,0.0,0.5,12,26,0.5391540179513578,0.33551770070680975,0.5469567021637282,0.04837930510396699,11.305592359962999,0.618421052631579,0.8340921551528961,-0.0441635524018934,0.2005784511566162
AAPL,1h,1,0.0,0.5,20,50,0.39810231938617946,0.07798618900200127,0.41900140387929563,0.05340105956562359,7.846312550491483,0.10526315789473684,0.1590957843133172,-0.004153328149983038,0.20886826515197754
AAPL,1h,1,0.0,0.75,8,21,0.8417154889236373,0.5605127948166706,0.8352828043065557,0.05709358420787299,14.630064233931442,0.8289473684210527,1.2631252941411446,-0.04911416862221507,0.20833587646484375
AAPL,1h,1,0.0,0.75,9,21,0.8232610565895595,0.46910931924995825,0.8283143564490185,0.06095259380598279,13.5894849542517,0.8026315789473685,1.1710059189567343,-0.04911416862221507,0.20861291885375977
AAPL,1h,1,0.0,0.75,10,30,0.7049987252996711,0.13832710184030472,0.7091498731144441,0.052128417664913565,13.603901765691932,0.5657894736842105,0.7502991314365282,-0.04662415424810318,0.19499945640563965
AAPL,1h,1,0.0,0.75,12,26,0.71314348359122,0.259594449672798,0.7131451878291886,0.0520156435968486,13.710205978733578,0.618421052631579,0.8665242909466431,-0.056408495621492305,0.20863699913024902
AAPL,1h,1,0.0,0.75,20,50,0.5269935961020128,-0.01832610702562354,0.541174303580341,0.0565266590024612,9.573788954283996,0.10526315789473684,0.15903629393063023,-0.004153328149983038,0.1974644660949707
AAPL,1h,1,0.0,1.0,8,21,1.0077339244572698,0.5982875774228473,1.00017234325252,0.060462087168428574,16.54214053951447,0.8289473684210527,1.3160868359624533,-0.06007786420142436,0.20003104209899902
AAPL,1h,1,0.0,1.0,9,21,0.9860369233172162,0.48935673828438686,0.9910587562263456,0.06524131920012115,15.190660893694886,0.8026315789473685,1.2169609867798117,-0.06007786420142436,0.18717098236083984
AAPL,1h,1,0.0,1.0,10,30,0.8441417828688632,0.05518821661518514,0.8429659691194974,0.056185501674631703,15.003264970402581,0.5657894736842105,0.7755560325417346,-0.05566953787806839,0.18791747093200684
AAPL,1h,1,0.0,1.0,12,26,0.8528464443295964,0.18429032181599814,0.8463062037313437,0.05688175584517272,14.878341766293516,0.618421052631579,0.8915119967810492,-0.06859155130626182,0.1856851577758789
AAPL,1h,1,0.0,1.0,20,50,0.6307957581507142,-0.10836666914856019,0.6388576036424101,0.060708142813818804,10.523425261116518,0.10526315789473684,0.15899158935391403,-0.004153328149983038,0.19130373001098633
AAPL,1h,1,0.1,0.0,8,21,0.18085224840329608,0.23584621829328922,0.1236824034741257,0.33850308375397065,0.365380433473451,0.3684210526315789,0.11715110362250752,-0.08396168975231366,0.20996379852294922
AAPL,1h,1,0.1,0.0,9,21,0.15665092692059127,0.19185319305102522,0.13247231484619798,0.3429126467185429,0.38631504586918636,0.3684210526315789,0.08406067812908208,-0.08396168975231366,0.19386053085327148
AAPL,1h,1,0.1,0.0,10,30,0.2565704488296493,0.3784252641706558,0.24879039494842675,0.3278236330704999,0.7589153735445403,0.25,0.040242171309377184,-0.058782472514657846,0.18445515632629395
AAPL,1h,1,0.1,0.0,12,26,0.31350202305764124,0.49929730981867326,0.2968428009973239,0.33281715982781196,0.891909543218565,0.27631578947368424,0.0960534759145764,-0.07970201326768933,0.20763635635375977
AAPL,1h,1,0.1,0.0,20,50,0.20348021120211732,0.2851708973320972,0.14697969991117504,0.3904531106190779,0.3764336764487118,0.039473684210526314,0.027097623699808993,-0.004153328149983038,0.18883252143859863
AAPL,1h,1,0.1,0.25,8,21,0.37247164008171657,0.4001230323128997,0.36680685598414514,0.05550641029165439,6.608369268644563,0.8289473684210527,1.1018811408569196,-0.027038539808219464,0.21324968338012695
AAPL,1h,1,0.1,0.25,9,21,0.36425588401627607,0.3373107012251191,0.36437431971148637,0.05818591802691742,6.262242344323294,0.8026315789473685,1.029709492456369,-0.027038539808219464,0.18367338180541992
AAPL,1h,1,0.1,0.25,10,30,0.3157243894869658,0.2837353444848063,0.33926361635324,0.0559799094758251,6.060453107730566,0.5657894736842105,0.6742033815800184,-0.028533386988173315,0.17941522598266602
AAPL,1h,1,0.1,0.25,12,26,0.3265214227894418,0.4259699702696289,0.347667561674615,0.05251735140157887,6.62005132391659,0.618421052631579,0.7877019654822218,-0.03185672164746545,0.18686127662658691
AAPL,1h,1,0.1,0.25,20,50,0.24109162965470154,0.17544296836987172,0.269515070830525,0.06401028292439341,4.2104964783371805,0.10526315789473684,0.1591788488272007,-0.004153328149983038,0.16555500030517578
AAPL,1h,1,0.1,0.5,8,21,0.6339711542564169,0.518714284790353,0.6296916628846561,0.05340362898981252,11.791177393670727,0.8289473684210527,1.1974824328242746,-0.03810106049114703,0.1905198097229004
AAPL,1h,1,0.1,0.5,9,21,0.622622763672227,0.4365452597914128,0.6234487714266573,0.05619547651620062,11.094287477870626,0.8026315789473685,1.1116129586561623,-0.03810106049114703,0.21751832962036133
AAPL,1h,1,0.1,0.5,10,30,0.5300799058430831,0.19175121569720455,0.5467151718086697,0.05043532834532558,10.83992490472881,0.5657894736842105,0.7179723351268087,-0.03757877061813841,0.18770837783813477
AAPL,1h,1,0.1,0.5,12,26,0.5394638646748404,0.35195092344618106,0.5526654088661462,0.04769022801077715,11.588651007104717,0.618421052631579,0.8340921551528961,-0.0441635524018934,0.1919543743133545
AAPL,1h,1,0.1,0.5,20,50,0.39777332407481186,0.07227045127094844,0.42017364271014407,0.05459547148121174,7.6961262777031045,0.10526315789473684,0.1590957843133172,-0.004153328149983038,0.19503355026245117
AAPL,1h,1,0.1,0.75,8,21,0.8420900308104241,0.5972252494959378,0.8371101052539188,0.05697292280299445,14.693121996716675,0.8289473684210527,1.2668926031090797,-0.04911416862221507,0.21376895904541016
AAPL,1h,1,0.1,0.75,9,21,0.8278430683840879,0.4959961556003212,0.8280819413389757,0.060088563465287924,13.781024101488859,0.8026315789473685,1.1708079589735279,-0.04911416862221507,0.20715594291687012
AAPL,1h,1,0.1,0.75,10,30,0.7038427714897445,0.10286877665899108,0.7140403125234889,0.05292218197815089,13.492268947230537,0.5657894736842105,0.7502991314365282,-0.04662415424810318,0.18426060676574707
AAPL,1h,1,0.1,0.75,12,26,0.7133716876658641,0.27777055669305795,0.7192141860995971,0.05098001699101189,14.107766700556402,0.618421052631579,0.8665242909466431,-0.056408495621492305,0.1849522590637207
AAPL,1h,1,0.1,0.75,20,50,0.5267511689910745,-0.024402034971660602,0.5421344965117065,0.05757744880804724,9.415743624193642,0.10526315789473684,0.15903629393063023,-0.004153328149983038,0.17304491996765137
AAPL,1h,1,0.1,1.0,8,21,1.0080788229505928,0.6409899651694324,1.002134564743708,0.060909591169960246,16.452820409636026,0.8289473684210527,1.3207388344107824,-0.06007786420142436,0.19403076171875
AAPL,1h,1,0.1,1.0,9,21,0.9914440277931791,0.521678943565796,0.9909362330005317,0.06444944939806567,15.37540261795119,0.8026315789473685,1.2167898015855085,-0.06007786420142436,0.19931483268737793
