ticker,n_mu,x_zero,best_in_sample_sharpe,n_mu_mc,x_zero_mc,best_mc_sharpe
AAPL,1,1.0,0.7560508465511547,1,1.0,0.8409578005104836
BTC-USD,2,0.85,0.9106345153936916,1,1.0,0.8937821266671875
ETH-USD,2,0.1,0.9219839210570678,2,0.1,0.8614860183764046
GLD,1,0.7,0.6413959094861278,1,1.0,0.6272637433168003
GOOGL,2,0.85,0.6570708592518472,1,1.0,0.7002842296006254
IWM,1,1.0,0.5949099254136208,1,1.0,0.610163163805045
QQQ,1,0.55,0.67693983638571,1,1.0,0.7098731461975143
SLV,14,0.85,0.5387036833482972,1,1.0,0.5605440796346296
SPY,2,0.85,0.6730314955421338,1,1.0,0.6595934032678263
