ticker,timeframe,n_mu,x_zero,bear_alloc,fast_period,slow_period,in_sample_sharpe,in_sample_return,mc_sharpe_mean,mc_sharpe_std,mc_robust_sharpe,wf_pos_sharpe_frac,wf_mean_sharpe,wf_worst_return,runtime_s
IWM,1h,1,0.0,0.0,8,21,0.03379220468994342,0.005696858689911988,0.012904366252500016,0.2383886908665642,0.054131620948927955,0.2631578947368421,-0.37034818865898034,-0.05235049800768177,0.20799565315246582
IWM,1h,1,0.0,0.0,9,21,0.06358713740201209,0.041204959658429186,0.046331678976009844,0.24093416905440046,0.19230015882698906,0.27631578947368424,-0.3219968806738133,-0.05235049800768177,0.2064807415008545
IWM,1h,1,0.0,0.0,10,30,0.18321996927187353,0.1846595830513622,0.11303219890224707,0.22772709015886825,0.49634937513755134,0.14473684210526316,-0.07375363391983514,-0.0233567667820479,0.1910390853881836
IWM,1h,1,0.0,0.0,12,26,0.20163101218467536,0.20813351789837653,0.12632772371832096,0.2231563919391348,0.5660950269924442,0.18421052631578946,-0.094064540422021,-0.023677885582670144,0.19324994087219238
IWM,1h,1,0.0,0.0,20,50,0.12959136202294583,0.1175743704772636,0.07566137720802557,0.2935495566261187,0.2577465218398956,0.039473684210526314,0.016488252759145047,-0.012900375893882932,0.198441743850708
IWM,1h,1,0.0,0.25,8,21,0.3697848661485317,0.0934923495055382,0.3790823432839702,0.042827437350140996,8.85138982715066,0.7894736842105263,0.974000857319611,-0.038802531998233025,0.21857428550720215
IWM,1h,1,0.0,0.25,9,21,0.36437810156990597,0.14229390886752813,0.36797174154962337,0.04149541184017111,8.867769356451964,0.7894736842105263,1.00638852819504,-0.05181850798486465,0.20142889022827148
IWM,1h,1,0.0,0.25,10,30,0.3274410810756478,0.35203986668434073,0.32194722024074046,0.0428248076316018,7.517773880276938,0.5,0.814271510101047,-0.010278656699111322,0.18137049674987793
IWM,1h,1,0.0,0.25,12,26,0.3240819331504896,0.38513359201808606,0.3243627231165646,0.05084184139549619,6.379838224059646,0.5526315789473685,0.8594319470150855,-0.022949912456486254,0.18264508247375488
IWM,1h,1,0.0,0.25,20,50,0.26903141565453886,0.2526995735541526,0.26300909840228315,0.04645109926912445,5.662064031649354,0.14473684210526316,0.2572089284536993,-0.0065451929791707775,0.1668105125427246
IWM,1h,1,0.0,0.5,8,21,0.6500425327303377,0.13809584162234323,0.6611906180523036,0.05079583946560866,13.016629413122761,0.7894736842105263,1.0884661952044503,-0.04763796489824179,0.19191431999206543
IWM,1h,1,0.0,0.5,9,21,0.6369972611726189,0.19977077302823298,0.640815980132263,0.045331199957486815,14.136311872027273,0.7894736842105263,1.1112787527082801,-0.06053429660127241,0.20439386367797852
IWM,1h,1,0.0,0.5,10,30,0.5547564862811594,0.4769584981874171,0.5507009889727308,0.04816090614379434,11.434606054306768,0.5,0.842033155218699,-0.014655871413157384,0.1990664005279541
IWM,1h,1,0.0,0.5,12,26,0.5457515998109987,0.5197359021068373,0.5488982850789531,0.059943520881923854,9.156924334827902,0.5526315789473685,0.9007384470101089,-0.02671504920510892,0.19194555282592773
IWM,1h,1,0.0,0.5,20,50,0.45229270575300407,0.33956964029270376,0.4484571382236496,0.04280691106764337,10.476278877375636,0.14473684210526316,0.25789718430059755,-0.0065451929791707775,0.18686628341674805
IWM,1h,1,0.0,0.75,8,21,0.8699671505018889,0.14851200066736525,0.8821018771113103,0.0628590898444516,14.033004284569211,0.7894736842105263,1.1713597372248525,-0.05643447546064506,0.19292998313903809
IWM,1h,1,0.0,0.75,9,21,0.8513795228446088,0.22201270814021234,0.8549335134769815,0.05466831159379668,15.638557119331129,0.7894736842105263,1.1862988870828963,-0.06921168994368931,0.2072615623474121
IWM,1h,1,0.0,0.75,10,30,0.7356634759363828,0.5642906981592821,0.7317867475460976,0.05638257724051215,12.978951714542989,0.5,0.861055565236253,-0.01903308612720367,0.20226597785949707
IWM,1h,1,0.0,0.75,12,26,0.722586190444247,0.6163429948465742,0.7269147133990291,0.07151457130062742,10.164567866082582,0.5526315789473685,0.9295728335466709,-0.030480185953731365,0.19206714630126953
IWM,1h,1,0.0,0.75,20,50,0.5981931544834903,0.38629614485021535,0.5956484178305212,0.0456323726173968,13.053198500650334,0.14473684210526316,0.258094959516768,-0.0065451929791707775,0.18800711631774902
IWM,1h,1,0.0,1.0,8,21,1.0447707323115756,0.13243137550259276,1.0575415987447259,0.0739168442636781,14.307180038317597,0.7894736842105263,1.2355252648818156,-0.06519206368544384,0.19013738632202148
IWM,1h,1,0.0,1.0,9,21,1.0218547223738428,0.21628532755001806,1.0250722848311995,0.06383291161407648,16.058679745467696,0.7894736842105263,1.2441757356663912,-0.07785068801211559,0.1998755931854248
IWM,1h,1,0.0,1.0,10,30,0.8799035440553923,0.6187174166723652,0.8759703563914144,0.06398654700526359,13.689914480294684,0.5,0.8756060874039197,-0.023410300841249843,0.20270514488220215
IWM,1h,1,0.0,1.0,12,26,0.8636603020494577,0.6792810252585193,0.8686794395773025,0.08172978292571871,10.628676701207127,0.5526315789473685,0.9516744728063439,-0.03424532270235403,0.19717073440551758
IWM,1h,1,0.0,1.0,20,50,0.7145363527193357,0.400097274796841,0.7129488939504897,0.0493186727407537,14.45596270804254,0.14473684210526316,0.258179362556226,-0.0065451929791707775,0.18280959129333496
IWM,1h,1,0.1,0.0,8,21,0.035684975567413936,0.007881530729984432,0.02601897098035174,0.24305843379489375,0.10704821295075075,0.2631578947368421,-0.3571683368100734,-0.05235049800768177,0.20033836364746094
IWM,1h,1,0.1,0.0,9,21,0.058168151983206434,0.03470484647846317,0.044423616076138005,0.24881870375705745,0.1785380898033795,0.27631578947368424,-0.30850693650629746,-0.054813916223198644,0.19276142120361328
IWM,1h,1,0.1,0.0,10,30,0.1985217068778707,0.2041309630285757,0.11861879439160346,0.231889046837771,0.5115325454530367,0.14473684210526316,-0.07375363391983514,-0.0233567667820479,0.17731285095214844
IWM,1h,1,0.1,0.0,12,26,0.1901360492746597,0.19366454036307856,0.11836403447243812,0.24118293271856728,0.49076455426701077,0.18421052631578946,-0.094064540422021,-0.023677885582670144,0.18651461601257324
IWM,1h,1,0.1,0.0,20,50,0.11885469257605814,0.1046261793819363,0.07277679002140076,0.29609061028794664,0.24579229294243982,0.039473684210526314,0.016488252759145047,-0.012900375893882932,0.19082403182983398
IWM,1h,1,0.1,0.25,8,21,0.3694852495050754,0.09647452943389001,0.3806871616432923,0.043321108469757355,8.787567425913203,0.7894736842105263,0.9747313433049445,-0.038802531998233025,0.22630572319030762
IWM,1h,1,0.1,0.25,9,21,0.36860087661554386,0.1334587008494672,0.3689020853675052,0.04189796484408868,8.804773375992582,0.7894736842105263,1.0091615922391193,-0.06645104138446101,0.2183680534362793
IWM,1h,1,0.1,0.25,10,30,0.3288148724565006,0.37986334992903803,0.32353215523102274,0.04280536420092158,7.558215220700242,0.5,0.814271510101047,-0.010278656699111322,0.19650626182556152
IWM,1h,1,0.1,0.25,12,26,0.32404225885125765,0.36453155900700374,0.32555228152026455,0.051957479340700684,6.265744328848618,0.5526315789473685,0.8594319470150855,-0.022949912456486254,0.19111943244934082
IWM,1h,1,0.1,0.25,20,50,0.26723330172106624,0.23445082725351174,0.26253057106710426,0.04721781467749932,5.559989865270233,0.14473684210526316,0.2572089284536993,-0.0065451929791707775,0.18782424926757812
IWM,1h,1,0.1,0.5,8,21,0.649810500891715,0.14183814095720848,0.6626577550352268,0.051479711117626066,12.87221199670525,0.7894736842105263,1.088872281765676,-0.04763796489824179,0.20802593231201172
IWM,1h,1,0.1,0.5,9,21,0.6454441733477667,0.18873486735619505,0.642899409891623,0.04561643324787341,14.093592245544412,0.7894736842105263,1.1164052856384465,-0.07802858452574957,0.19882631301879883
IWM,1h,1,0.1,0.5,10,30,0.5555335854119882,0.5134921906134644,0.5529204313649906,0.0472490413373826,11.702257140348154,0.5,0.842033155218699,-0.014655871413157384,0.19551706314086914
IWM,1h,1,0.1,0.5,12,26,0.5478742790748088,0.4927892446336013,0.5519204533465699,0.060799846459578956,9.07766195945081,0.5526315789473685,0.9007384470101089,-0.02671504920510892,0.18639659881591797
IWM,1h,1,0.1,0.5,20,50,0.451050943049489,0.31601585822699163,0.4481788199538599,0.04343321354322618,10.318804053211892,0.14473684210526316,0.25789718430059755,-0.0065451929791707775,0.18141651153564453
IWM,1h,1,0.1,0.75,8,21,0.8698195451349848,0.15294062895086102,0.8836659758935153,0.06388922159172834,13.831221509324546,0.7894736842105263,1.1716493083072101,-0.05643447546064506,0.19318103790283203
IWM,1h,1,0.1,0.75,9,21,0.8630586494232827,0.20901830599427607,0.8578859916723974,0.05497099314956085,15.60615776648472,0.7894736842105263,1.1932666933210685,-0.08954654564706466,0.19538331031799316
IWM,1h,1,0.1,0.75,10,30,0.7362417668000425,0.609509414409652,0.7345869980357767,0.055276042390234974,13.28942822732816,0.5,0.861055565236253,-0.01903308612720367,0.1922307014465332
IWM,1h,1,0.1,0.75,12,26,0.7262321917317426,0.5831308480706068,0.7312955939310161,0.0726468545603827,10.066445386471303,0.5526315789473685,0.9295728335466709,-0.030480185953731365,0.18531584739685059
IWM,1h,1,0.1,0.75,20,50,0.5971875925240462,0.35769350398663424,0.5954537147831593,0.04614843836667084,12.903008982709279,0.14473684210526316,0.258094959516768,-0.0065451929791707775,0.17187952995300293
IWM,1h,1,0.1,1.0,8,21,1.0446919258440606,0.13744937029949633,1.059221315995966,0.07524802847096272,14.076399575102574,0.7894736842105263,1.2357529566650856,-0.06519206368544384,0.1897728443145752
IWM,1h,1,0.1,1.0,9,21,1.0360922188264616,0.20164133380717075,1.0287066319582612,0.06414810645515194,16.03643020511391,0.7894736842105263,1.2526216789224796,-0.10100492474840506,0.19223856925964355
IWM,1h,1,0.1,1.0,10,30,0.8803797061950576,0.6722842142874439,0.8792446349872979,0.06287150715427452,13.984786985141005,0.5,0.8756060874039197,-0.023410300841249843,0.18191099166870117
IWM,1h,1,0.1,1.0,12,26,0.8684827105851152,0.6401162575840258,0.8741228579494724,0.0831258071538919,10.515661596298214,0.5526315789473685,0.9516744728063439,-0.03424532270235403,0.1818528175354004
IWM,1h,1,0.1,1.0,20,50,0.7136790929818118,0.36689356363480874,0.7128036625167311,0.04975479720015833,14.326330376731248,0.14473684210526316,0.258179362556226,-0.0065451929791707775,0.17007946968078613
IWM,1h,1,0.25,0.0,8,21,0.021998238999849914,-0.008222241149026366,0.0127939993632856,0.25200801157149966,0.050768224722314785,0.2631578947368421,-0.3571683368100734,-0.05235049800768177,0.22106266021728516
IWM,1h,1,0.25,0.0,9,21,0.06170228375466706,0.03894508530957186,0.015498170038703648,0.2502970496206835,0.06191910796467872,0.27631578947368424,-0.30850693650629746,-0.054813916223198644,0.19472885131835938
IWM,1h,1,0.25,0.0,10,30,0.19161604013999847,0.19505030383290878,0.1242061521827719,0.22975724801853092,0.5405973184913588,0.14473684210526316,-0.07375363391983514,-0.0233567667820479,0.19223856925964355
IWM,1h,1,0.25,0.0,12,26,0.09752346623515697,0.08027522208963589,0.097252440849899,0.2132359713708974,0.45607896371640083,0.18421052631578946,-0.094064540422021,-0.023677885582670144,0.1915569305419922
