ticker,n_mu,x,std_returns
SPY,1,0.0,1.1417059858073757
SPY,1,0.25,1.1615272663905825
SPY,1,0.5,1.1665086476000661
SPY,1,0.75,1.1771105830993012
SPY,1,1.0,1.18943298530006
SPY,3,0.0,1.0728239649013298
SPY,3,0.25,1.0873210791151922
SPY,3,0.5,1.1318351665458628
SPY,3,0.75,1.1494381211413816
SPY,3,1.0,1.18943298530006
SPY,5,0.0,1.0159736052937003
SPY,5,0.25,1.0353155312185296
SPY,5,0.5,1.1016226440804446
SPY,5,0.75,1.1344092422329413
SPY,5,1.0,1.18943298530006
SPY,8,0.0,0.9574540454350714
SPY,8,0.25,0.9937525928021597
SPY,8,0.5,1.0786500228211757
SPY,8,0.75,1.117727824472379
SPY,8,1.0,1.18943298530006
SPY,12,0.0,0.902226168692765
SPY,12,0.25,0.9266902585785219
SPY,12,0.5,1.0398310193426632
SPY,12,0.75,1.1031489018024843
SPY,12,1.0,1.18943298530006
SPY,18,0.0,0.7833753079634729
SPY,18,0.25,0.8544785301180545
SPY,18,0.5,0.972337885997745
SPY,18,0.75,1.0644349333589023
SPY,18,1.0,1.18943298530006
SPY,25,0.0,0.6792715758645803
SPY,25,0.25,0.8262059627334241
SPY,25,0.5,0.9381799605886489
SPY,25,0.75,1.0570300909808596
SPY,25,1.0,1.18943298530006
SPY,35,0.0,0.6646124194561988
SPY,35,0.25,0.8087640461552374
SPY,35,0.5,0.9415152225500202
SPY,35,0.75,1.0590364544395816
SPY,35,1.0,1.18943298530006
SPY,50,0.0,0.6577691354484071
SPY,50,0.25,0.7950118832219925
SPY,50,0.5,0.899245475158018
SPY,50,0.75,1.031854546940889
SPY,50,1.0,1.18943298530006
QQQ,1,0.0,1.17971593906757
QQQ,1,0.25,1.18655766451284
QQQ,1,0.5,1.189330152581955
QQQ,1,0.75,1.1957044999932305
QQQ,1,1.0,1.2063191944946954
QQQ,3,0.0,1.1180011311601559
QQQ,3,0.25,1.1313698959180738
QQQ,3,0.5,1.155856953710665
QQQ,3,0.75,1.1811554498505152
QQQ,3,1.0,1.2063191944946954
QQQ,5,0.0,1.0595546161293277
QQQ,5,0.25,1.0823436476528443
QQQ,5,0.5,1.120047881046588
QQQ,5,0.75,1.163244342815938
QQQ,5,1.0,1.2063191944946954
QQQ,8,0.0,1.007966490293658
QQQ,8,0.25,1.0193876131506796
QQQ,8,0.5,1.0978025506717455
QQQ,8,0.75,1.155044901848182
QQQ,8,1.0,1.2063191944946954
QQQ,12,0.0,0.9343543641113664
QQQ,12,0.25,0.9655408974246577
QQQ,12,0.5,1.0749388223735306
QQQ,12,0.75,1.1457037338887652
QQQ,12,1.0,1.2063191944946954
QQQ,18,0.0,0.8188002469966135
QQQ,18,0.25,0.9305581227820561
QQQ,18,0.5,1.0624870117527063
QQQ,18,0.75,1.1175731687386268
QQQ,18,1.0,1.2063191944946954
QQQ,25,0.0,0.7255741934494969
QQQ,25,0.25,0.8178428117246419
QQQ,25,0.5,0.974664298398411
QQQ,25,0.75,1.1017889863052577
QQQ,25,1.0,1.2063191944946954
QQQ,35,0.0,0.6969839634776042
QQQ,35,0.25,0.7942996955919903
QQQ,35,0.5,0.9493072960781159
QQQ,35,0.75,1.0791629044611117
QQQ,35,1.0,1.2063191944946954
QQQ,50,0.0,0.5701389570325164
QQQ,50,0.25,0.7515243750374644
QQQ,50,0.5,0.9224582305755987
QQQ,50,0.75,1.0647547714071395
QQQ,50,1.0,1.2063191944946954
IWM,1,0.0,1.2601455187046733
IWM,1,0.25,1.2715502722867622
IWM,1,0.5,1.276595563915565
IWM,1,0.75,1.2701912327885603
IWM,1,1.0,1.3005137691624933
IWM,3,0.0,1.1968853715492107
IWM,3,0.25,1.2246146291337585
IWM,3,0.5,1.2454173016848056
IWM,3,0.75,1.256990880874005
IWM,3,1.0,1.3005137691624933
IWM,5,0.0,1.1178250930019293
IWM,5,0.25,1.1756436038690516
IWM,5,0.5,1.20438055330109
IWM,5,0.75,1.2429573024565168
IWM,5,1.0,1.3005137691624933
IWM,8,0.0,1.0447336713565643
IWM,8,0.25,1.1194218067872361
IWM,8,0.5,1.1857959451979851
IWM,8,0.75,1.2370063425932
IWM,8,1.0,1.3005137691624933
IWM,12,0.0,0.9675082918199073
IWM,12,0.25,1.0488202706235377
IWM,12,0.5,1.13192585875662
IWM,12,0.75,1.2219276799142305
IWM,12,1.0,1.3005137691624933
IWM,18,0.0,0.878502636936665
IWM,18,0.25,0.9791004468775549
IWM,18,0.5,1.055414795826473
IWM,18,0.75,1.1812486672223272
IWM,18,1.0,1.3005137691624933
IWM,25,0.0,0.8231381714264691
IWM,25,0.25,0.9293218043954533
IWM,25,0.5,1.0389783731895295
IWM,25,0.75,1.1612614631929212
IWM,25,1.0,1.3005137691624933
IWM,35,0.0,0.7293148593881901
IWM,35,0.25,0.8716813078835988
IWM,35,0.5,0.9744641303274921
IWM,35,0.75,1.1475842234453462
IWM,35,1.0,1.3005137691624933
IWM,50,0.0,0.694389218191577
IWM,50,0.25,0.8697208469983192
IWM,50,0.5,0.9171342886777438
IWM,50,0.75,1.0999550881534421
IWM,50,1.0,1.3005137691624933
AAPL,1,0.0,1.1858215447133766
AAPL,1,0.25,1.1894586382331105
AAPL,1,0.5,1.19356133996781
AAPL,1,0.75,1.2050794465751224
AAPL,1,1.0,1.2181890148199388
AAPL,3,0.0,1.1608632723310661
AAPL,3,0.25,1.1776996921919218
AAPL,3,0.5,1.1883522618271722
AAPL,3,0.75,1.2057416183381362
AAPL,3,1.0,1.2181890148199388
AAPL,5,0.0,1.0850832601633609
AAPL,5,0.25,1.1107871443777644
AAPL,5,0.5,1.1396677631342205
AAPL,5,0.75,1.1866847777424787
AAPL,5,1.0,1.2181890148199388
AAPL,8,0.0,1.0060483198535897
AAPL,8,0.25,1.0714335388632583
AAPL,8,0.5,1.1102395672537049
AAPL,8,0.75,1.1725782756556307
AAPL,8,1.0,1.2181890148199388
AAPL,12,0.0,0.9957556299724063
AAPL,12,0.25,1.06482581759272
AAPL,12,0.5,1.0955870223501893
AAPL,12,0.75,1.1715893882227888
AAPL,12,1.0,1.2181890148199388
AAPL,18,0.0,0.8755085659896681
AAPL,18,0.25,0.980934483509475
AAPL,18,0.5,1.044332636336692
AAPL,18,0.75,1.139937168044032
AAPL,18,1.0,1.2181890148199388
AAPL,25,0.0,0.8378368177331587
AAPL,25,0.25,0.9326471715659985
AAPL,25,0.5,1.0014603298503146
AAPL,25,0.75,1.0990267630564678
AAPL,25,1.0,1.2181890148199388
AAPL,35,0.0,0.7904549644672212
AAPL,35,0.25,0.9247666458749556
AAPL,35,0.5,0.9880024987304784
AAPL,35,0.75,1.0824535783753988
AAPL,35,1.0,1.2181890148199388
AAPL,50,0.0,0.7029786790718378
AAPL,50,0.25,0.8197035884596025
AAPL,50,0.5,0.9416451847667963
AAPL,50,0.75,1.041613809895667
AAPL,50,1.0,1.2181890148199388
GOOGL,1,0.0,1.3214998316760727
GOOGL,1,0.25,1.3336307442806126
GOOGL,1,0.5,1.3349870335686498
GOOGL,1,0.75,1.3550553946415984
GOOGL,1,1.0,1.3672520214131134
GOOGL,3,0.0,1.2046227378579755
GOOGL,3,0.25,1.237997197189025
GOOGL,3,0.5,1.2803920735988286
GOOGL,3,0.75,1.3310220533303105
GOOGL,3,1.0,1.3672520214131134
GOOGL,5,0.0,1.129984682150416
GOOGL,5,0.25,1.1783638832275771
GOOGL,5,0.5,1.229239443890187
GOOGL,5,0.75,1.2998846969622455
GOOGL,5,1.0,1.3672520214131134
GOOGL,8,0.0,1.061828848578302
GOOGL,8,0.25,1.1072745205266108
GOOGL,8,0.5,1.1977946755203785
GOOGL,8,0.75,1.285911362427855
GOOGL,8,1.0,1.3672520214131134
GOOGL,12,0.0,0.9928547310954849
GOOGL,12,0.25,1.0691802802205883
GOOGL,12,0.5,1.150631334144515
GOOGL,12,0.75,1.2467876174369839
GOOGL,12,1.0,1.3672520214131134
GOOGL,18,0.0,0.8592360361554747
GOOGL,18,0.25,1.0104271157618065
GOOGL,18,0.5,1.1163533358289741
GOOGL,18,0.75,1.2267748039887856
GOOGL,18,1.0,1.3672520214131134
GOOGL,25,0.0,0.8128850114596361
GOOGL,25,0.25,0.9858494758852491
GOOGL,25,0.5,1.1087662073625328
GOOGL,25,0.75,1.212378477587863
GOOGL,25,1.0,1.3672520214131134
GOOGL,35,0.0,0.7652734533668221
GOOGL,35,0.25,0.956581195433582
GOOGL,35,0.5,1.0920022515192838
GOOGL,35,0.75,1.1952113473189703
GOOGL,35,1.0,1.3672520214131134
GOOGL,50,0.0,0.6858998945659458
GOOGL,50,0.25,0.897339126232191
GOOGL,50,0.5,1.0508358208228314
GOOGL,50,0.75,1.1556700972941112
GOOGL,50,1.0,1.3672520214131134
BTC-USD,1,0.0,1.295411441576065
BTC-USD,1,0.25,1.284421219209539
BTC-USD,1,0.5,1.2986479855169994
BTC-USD,1,0.75,1.298699883720408
BTC-USD,1,1.0,1.297863650205228
BTC-USD,3,0.0,1.2368188176832915
BTC-USD,3,0.25,1.2384139471805762
BTC-USD,3,0.5,1.2786858083704846
BTC-USD,3,0.75,1.2906995648569861
BTC-USD,3,1.0,1.297863650205228
BTC-USD,5,0.0,1.155511646029472
BTC-USD,5,0.25,1.1950648664381316
BTC-USD,5,0.5,1.253948657703151
BTC-USD,5,0.75,1.2660761374595866
BTC-USD,5,1.0,1.297863650205228
BTC-USD,8,0.0,1.1119352989364872
BTC-USD,8,0.25,1.1394732199355806
BTC-USD,8,0.5,1.2117419166537218
BTC-USD,8,0.75,1.2384938489821435
BTC-USD,8,1.0,1.297863650205228
BTC-USD,12,0.0,1.0388233268064992
BTC-USD,12,0.25,1.048350938013739
BTC-USD,12,0.5,1.1586508439008152
BTC-USD,12,0.75,1.2031957922762837
BTC-USD,12,1.0,1.297863650205228
BTC-USD,18,0.0,0.9682294664272275
BTC-USD,18,0.25,1.0067246002759345
BTC-USD,18,0.5,1.1380394749808784
BTC-USD,18,0.75,1.1861242882879826
BTC-USD,18,1.0,1.297863650205228
BTC-USD,25,0.0,0.8960872405990236
BTC-USD,25,0.25,0.9657787536130472
BTC-USD,25,0.5,1.0851123757739902
BTC-USD,25,0.75,1.157077928863927
BTC-USD,25,1.0,1.297863650205228
BTC-USD,35,0.0,0.8600793499109561
BTC-USD,35,0.25,0.9020447519332295
BTC-USD,35,0.5,1.0175560988057448
BTC-USD,35,0.75,1.1293995571263789
BTC-USD,35,1.0,1.297863650205228
BTC-USD,50,0.0,0.7153780581100215
BTC-USD,50,0.25,0.8557484891982342
