ticker,n_mu,x,sortino
SPY,1,0.0,0.9005112812401417
SPY,1,0.25,0.9454892121465353
SPY,1,0.5,0.9565154114225458
SPY,1,0.75,0.9796977974588291
SPY,1,1.0,0.9891731976819441
SPY,3,0.0,0.8921421097140376
SPY,3,0.25,0.9289644611326972
SPY,3,0.5,0.9664479100705833
SPY,3,0.75,0.9992885261360313
SPY,3,1.0,0.9891731976819441
SPY,5,0.0,0.8154018923476763
SPY,5,0.25,0.8775124425738928
SPY,5,0.5,0.9456357622430831
SPY,5,0.75,0.9848716956711723
SPY,5,1.0,0.9891731976819441
SPY,8,0.0,0.7708445134214529
SPY,8,0.25,0.8651998563524831
SPY,8,0.5,0.9372235119589414
SPY,8,0.75,0.9568504488633983
SPY,8,1.0,0.9891731976819441
SPY,12,0.0,0.744735512097225
SPY,12,0.25,0.851090447931135
SPY,12,0.5,0.9385591670681489
SPY,12,0.75,0.9464574070997651
SPY,12,1.0,0.9891731976819441
SPY,18,0.0,0.6139219155513754
SPY,18,0.25,0.7297614856222006
SPY,18,0.5,0.8459785148542096
SPY,18,0.75,0.8624297302243157
SPY,18,1.0,0.9891731976819441
SPY,25,0.0,0.5756998344687685
SPY,25,0.25,0.6757108102392384
SPY,25,0.5,0.8155797051926532
SPY,25,0.75,0.8260987045758134
SPY,25,1.0,0.9891731976819441
SPY,35,0.0,0.5467150395600724
SPY,35,0.25,0.6215282396982972
SPY,35,0.5,0.7347724739140847
SPY,35,0.75,0.7975263258251791
SPY,35,1.0,0.9891731976819441
SPY,50,0.0,0.5543937320419089
SPY,50,0.25,0.5660822419861038
SPY,50,0.5,0.678764206684959
SPY,50,0.75,0.7689218522841225
SPY,50,1.0,0.9891731976819441
QQQ,1,0.0,0.9579736297753606
QQQ,1,0.25,0.9639909230282528
QQQ,1,0.5,0.9914559045287131
QQQ,1,0.75,0.9872026408782378
QQQ,1,1.0,0.9940647206045355
QQQ,3,0.0,0.9270815095212758
QQQ,3,0.25,0.9470036481638532
QQQ,3,0.5,0.9868779343878861
QQQ,3,0.75,0.9683465532871635
QQQ,3,1.0,0.9940647206045355
QQQ,5,0.0,0.8874215611788191
