ticker,n_mu,x,kurtosis
QQQ,12,0.75,26.46541129214519
QQQ,12,1.0,23.604621712789694
QQQ,18,0.0,56.458883501576416
QQQ,18,0.25,43.85332046423026
QQQ,18,0.5,33.44455425112719
QQQ,18,0.75,27.77027755356363
QQQ,18,1.0,23.604621712789694
QQQ,25,0.0,74.37777222265258
QQQ,25,0.25,56.247315493119345
QQQ,25,0.5,39.08831454890247
QQQ,25,0.75,28.82155684374446
QQQ,25,1.0,23.604621712789694
QQQ,35,0.0,85.39552341301565
QQQ,35,0.25,62.87890684107962
QQQ,35,0.5,41.151163759003644
QQQ,35,0.75,30.035299409977885
QQQ,35,1.0,23.604621712789694
QQQ,50,0.0,130.33684469335867
QQQ,50,0.25,70.47942931974443
QQQ,50,0.5,44.10456263777155
QQQ,50,0.75,31.080757029297374
QQQ,50,1.0,23.604621712789694
IWM,1,0.0,23.56631208759681
IWM,1,0.25,22.65567241085581
IWM,1,0.5,22.065319314233932
IWM,1,0.75,21.981581557516705
IWM,1,1.0,20.85281524582265
IWM,3,0.0,26.05263227327249
IWM,3,0.25,24.330203199917694
IWM,3,0.5,23.178561081987553
IWM,3,0.75,22.450674865654616
IWM,3,1.0,20.85281524582265
IWM,5,0.0,30.06852109055504
IWM,5,0.25,26.512456566610723
IWM,5,0.5,24.904525176645794
IWM,5,0.75,23.051826120703065
IWM,5,1.0,20.85281524582265
IWM,8,0.0,35.235002017069235
IWM,8,0.25,30.06109074801886
IWM,8,0.5,25.796621169419737
IWM,8,0.75,23.40513120639585
IWM,8,1.0,20.85281524582265
IWM,12,0.0,40.56927910910851
IWM,12,0.25,33.787640687367094
IWM,12,0.5,28.79947708308572
IWM,12,0.75,23.929047126649284
IWM,12,1.0,20.85281524582265
IWM,18,0.0,51.55033330846444
IWM,18,0.25,40.961688185387864
IWM,18,0.5,32.16889399765231
IWM,18,0.75,25.58328489768469
IWM,18,1.0,20.85281524582265
IWM,25,0.0,60.82848300622018
IWM,25,0.25,47.191308314155044
IWM,25,0.5,34.47301310227927
IWM,25,0.75,26.616608181693056
IWM,25,1.0,20.85281524582265
IWM,35,0.0,79.37080180827394
IWM,35,0.25,55.30189288969844
IWM,35,0.5,41.26130624400779
IWM,35,0.75,27.176052352256605
IWM,35,1.0,20.85281524582265
IWM,50,0.0,82.32589164733272
IWM,50,0.25,54.14917963479086
IWM,50,0.5,45.62862403821958
IWM,50,0.75,29.227344109464592
IWM,50,1.0,20.85281524582265
AAPL,1,0.0,26.83359855027814
AAPL,1,0.25,26.565216913218226
AAPL,1,0.5,25.90693589954637
AAPL,1,0.75,24.77323361882408
AAPL,1,1.0,24.1752326850506
AAPL,3,0.0,28.68004188168435
AAPL,3,0.25,27.48184587427224
AAPL,3,0.5,26.36386222865851
AAPL,3,0.75,24.88624067091136
AAPL,3,1.0,24.1752326850506
AAPL,5,0.0,32.688734884080745
AAPL,5,0.25,30.748064937192897
AAPL,5,0.5,28.857681433766484
AAPL,5,0.75,25.871286461165226
AAPL,5,1.0,24.1752326850506
AAPL,8,0.0,38.57930540482939
