ticker,n_mu,x,win_rate
QQQ,50,0.25,0.47991249005568815
QQQ,50,0.5,0.4669848846459825
QQQ,50,0.75,0.44676478387695573
QQQ,50,1.0,0.4786528772208963
IWM,1,0.0,0.433107928931318
IWM,1,0.25,0.4346327234155396
IWM,1,0.5,0.43542826836382925
IWM,1,0.75,0.4378811986210554
IWM,1,1.0,0.4410633784142137
IWM,3,0.0,0.4350304958896844
IWM,3,0.25,0.4360249270750464
IWM,3,0.5,0.43609122248740384
IWM,3,0.75,0.43774860779634056
IWM,3,1.0,0.4410633784142137
IWM,5,0.0,0.436820472023336
IWM,5,0.25,0.43489790506496956
IWM,5,0.5,0.43708565367276586
IWM,5,0.75,0.4344338371784673
IWM,5,1.0,0.4410633784142137
IWM,8,0.0,0.4410633784142137
IWM,8,0.25,0.43516308671439935
IWM,8,0.5,0.43635640413683374
IWM,8,0.75,0.43131795279766644
IWM,8,1.0,0.4410633784142137
IWM,12,0.0,0.4376160169716256
IWM,12,0.25,0.43025722619994694
IWM,12,0.5,0.4311853619729515
IWM,12,0.75,0.4280694775921506
IWM,12,1.0,0.4410633784142137
IWM,18,0.0,0.4396048793423495
IWM,18,0.25,0.42468841156192
IWM,18,0.5,0.4297931583134447
IWM,18,0.75,0.42555025192256696
IWM,18,1.0,0.4410633784142137
IWM,25,0.0,0.43244497480774324
IWM,25,0.25,0.42316361707769823
IWM,25,0.5,0.4257491381596394
IWM,25,0.75,0.4221028904799788
IWM,25,1.0,0.4410633784142137
IWM,35,0.0,0.43503049588968445
IWM,35,0.25,0.42482100238663484
IWM,35,0.5,0.426412092283214
IWM,35,0.75,0.41573853089366214
IWM,35,1.0,0.4410633784142137
IWM,50,0.0,0.44086449217714135
IWM,50,0.25,0.43410236011667996
IWM,50,0.5,0.42840095465393796
IWM,50,0.75,0.41825775656324576
IWM,50,1.0,0.4410633784142137
AAPL,1,0.0,0.4399363564041368
AAPL,1,0.25,0.4412622646512862
AAPL,1,0.5,0.4439803765579422
AAPL,1,0.75,0.44570405727923634
AAPL,1,1.0,0.4478255104746751
AAPL,3,0.0,0.43569345001325904
AAPL,3,0.25,0.4386104481569875
AAPL,3,0.5,0.44265446831079286
AAPL,3,0.75,0.4439803765579422
