ticker,n_mu,x,recovery
QQQ,8,1.0,2.709526315211995
QQQ,12,0.0,0.780197965113688
QQQ,12,0.25,1.5235278692846066
QQQ,12,0.5,0.7327626529576592
QQQ,12,0.75,1.3307588201810194
QQQ,12,1.0,2.709526315211995
QQQ,18,0.0,1.3099017739292733
QQQ,18,0.25,1.0443812274807502
QQQ,18,0.5,0.6081514028232494
QQQ,18,0.75,1.5366990531923121
QQQ,18,1.0,2.709526315211995
QQQ,25,0.0,0.9040253748779734
QQQ,25,0.25,1.4467907095589425
QQQ,25,0.5,1.8333521282180227
QQQ,25,0.75,1.1532129031899614
QQQ,25,1.0,2.709526315211995
QQQ,35,0.0,1.057255057204669
QQQ,35,0.25,1.15972179887492
QQQ,35,0.5,1.8981939378708867
QQQ,35,0.75,0.9313140463822732
QQQ,35,1.0,2.709526315211995
QQQ,50,0.0,2.3449877003235398
QQQ,50,0.25,1.5739021922336403
QQQ,50,0.5,1.6261197777712806
QQQ,50,0.75,0.8744627968221942
QQQ,50,1.0,2.709526315211995
IWM,1,0.0,0.3084683458699545
IWM,1,0.25,0.15300877908500746
IWM,1,0.5,-0.0028835657313559617
IWM,1,0.75,0.31289486526459265
IWM,1,1.0,0.5708660745176274
IWM,3,0.0,0.4494762764059854
IWM,3,0.25,0.28188708974993243
IWM,3,0.5,0.11361538327037597
IWM,3,0.75,0.5207959201663166
IWM,3,1.0,0.5708660745176274
IWM,5,0.0,0.7744946575758993
IWM,5,0.25,0.6196742123371646
IWM,5,0.5,0.4128880422032968
IWM,5,0.75,0.5073627581546466
IWM,5,1.0,0.5708660745176274
IWM,8,0.0,0.968179860722893
IWM,8,0.25,0.5225853677152289
IWM,8,0.5,0.373888420506237
IWM,8,0.75,0.26484013075389584
IWM,8,1.0,0.5708660745176274
IWM,12,0.0,-0.023267400733865518
IWM,12,0.25,0.018570699342773306
IWM,12,0.5,-0.14111539543990104
IWM,12,0.75,0.24788739112556654
IWM,12,1.0,0.5708660745176274
IWM,18,0.0,-0.24313061084154067
IWM,18,0.25,-0.4010023541776638
IWM,18,0.5,0.1766461903381001
IWM,18,0.75,0.363963050411057
IWM,18,1.0,0.5708660745176274
IWM,25,0.0,-0.5840819828922357
IWM,25,0.25,-0.49676160037134826
IWM,25,0.5,-0.3878721095220918
IWM,25,0.75,0.04264855847354563
IWM,25,1.0,0.5708660745176274
IWM,35,0.0,-0.12526463967716114
IWM,35,0.25,-0.2226147705591792
IWM,35,0.5,-0.13716364369082576
IWM,35,0.75,-0.06248964167181124
IWM,35,1.0,0.5708660745176274
IWM,50,0.0,1.1752594434017487
IWM,50,0.25,0.029244237577102154
IWM,50,0.5,0.0502035144553453
IWM,50,0.75,0.42974335185798856
IWM,50,1.0,0.5708660745176274
AAPL,1,0.0,5.773767097679619
AAPL,1,0.25,6.006926128107652
AAPL,1,0.5,5.837284392839664
AAPL,1,0.75,5.707451302647918
AAPL,1,1.0,7.675133836581296
AAPL,3,0.0,4.775006322268326
AAPL,3,0.25,5.721570331816673
AAPL,3,0.5,5.366402323144111
AAPL,3,0.75,4.4632249588330755
AAPL,3,1.0,7.675133836581296
AAPL,5,0.0,3.4634756569042335
AAPL,5,0.25,4.045446030277628
AAPL,5,0.5,4.210092495415924
AAPL,5,0.75,4.351567356122431
AAPL,5,1.0,7.675133836581296
AAPL,8,0.0,3.7009135542099902
AAPL,8,0.25,5.113797141436267
AAPL,8,0.5,5.022357606023461
AAPL,8,0.75,4.74106654941392
AAPL,8,1.0,7.675133836581296
AAPL,12,0.0,3.192745160285454
AAPL,12,0.25,5.238442013510354
AAPL,12,0.5,4.20752146558816
AAPL,12,0.75,3.5821340774619848
AAPL,12,1.0,7.675133836581296
AAPL,18,0.0,3.548467493282507
AAPL,18,0.25,4.4684096714165795
AAPL,18,0.5,5.125358705217921
AAPL,18,0.75,3.4779348016068123
AAPL,18,1.0,7.675133836581296
AAPL,25,0.0,0.9292737220664319
AAPL,25,0.25,1.1161176727317843
AAPL,25,0.5,2.5845141677892625
AAPL,25,0.75,2.8207834667609717
AAPL,25,1.0,7.675133836581296
AAPL,35,0.0,1.2540761790821329
AAPL,35,0.25,0.6101431939830319
AAPL,35,0.5,1.0714276117506978
AAPL,35,0.75,2.0880033098339585
