ticker,n_mu,x,std_wins
GLD,12,0.0,0.06626610480232265
GLD,12,0.25,0.07652550710641685
GLD,12,0.5,0.08251198208077014
GLD,12,0.75,0.0899330079319867
GLD,12,1.0,0.09734824357553508
GLD,18,0.0,0.0647658715984543
GLD,18,0.25,0.07353323736506791
GLD,18,0.5,0.07881259820567231
GLD,18,0.75,0.0884605167686211
GLD,18,1.0,0.09734824357553508
GLD,25,0.0,0.06100841065773533
GLD,25,0.25,0.06948588940975291
GLD,25,0.5,0.07467353065452385
GLD,25,0.75,0.08641502991160699
GLD,25,1.0,0.09734824357553508
GLD,35,0.0,0.05431172971902851
GLD,35,0.25,0.06434638652630599
GLD,35,0.5,0.07127191478569915
GLD,35,0.75,0.08320123461392735
GLD,35,1.0,0.09734824357553508
GLD,50,0.0,0.05279793960114281
GLD,50,0.25,0.06447191355668323
GLD,50,0.5,0.07265976582390188
GLD,50,0.75,0.08353193135739602
GLD,50,1.0,0.09734824357553508
SLV,1,0.0,0.10465601395102446
SLV,1,0.25,0.10592267155006733
SLV,1,0.5,0.10540710789004977
SLV,1,0.75,0.10576731509656849
SLV,1,1.0,0.10484368565016651
SLV,3,0.0,0.10000327643108502
SLV,3,0.25,0.1025800614587646
SLV,3,0.5,0.1043743289080235
SLV,3,0.75,0.10422989166513752
SLV,3,1.0,0.10484368565016651
SLV,5,0.0,0.09474773660870323
SLV,5,0.25,0.098234617773947
SLV,5,0.5,0.10154191243828999
SLV,5,0.75,0.10368416216578387
SLV,5,1.0,0.10484368565016651
SLV,8,0.0,0.0866451990325322
SLV,8,0.25,0.08999370319478915
SLV,8,0.5,0.09539111110975172
SLV,8,0.75,0.10163145233319666
SLV,8,1.0,0.10484368565016651
SLV,12,0.0,0.07869348302484495
SLV,12,0.25,0.08133618702392234
SLV,12,0.5,0.08974296604599037
SLV,12,0.75,0.09889558629890065
SLV,12,1.0,0.10484368565016651
SLV,18,0.0,0.07095402111515785
SLV,18,0.25,0.07699270457227997
SLV,18,0.5,0.08861479231080514
SLV,18,0.75,0.09786066285082202
SLV,18,1.0,0.10484368565016651
SLV,25,0.0,0.06782424058230463
SLV,25,0.25,0.07346830708357653
SLV,25,0.5,0.0855531135144844
SLV,25,0.75,0.09602879676817079
SLV,25,1.0,0.10484368565016651
SLV,35,0.0,0.06273764543592081
SLV,35,0.25,0.07105000304188197
SLV,35,0.5,0.07863465135429913
SLV,35,0.75,0.09252196467564217
SLV,35,1.0,0.10484368565016651
SLV,50,0.0,0.06266105997231586
SLV,50,0.25,0.06725667159650428
SLV,50,0.5,0.07728139730690488
SLV,50,0.75,0.09201424518984079
SLV,50,1.0,0.10484368565016651
