ticker,n_mu,x,std_losses
SPY,1,0.0,0.05028584963710144
SPY,1,0.25,0.051362180319869166
SPY,1,0.5,0.05184631500917575
SPY,1,0.75,0.05258626111976778
SPY,1,1.0,0.053412839507159575
SPY,3,0.0,0.04723018482060116
SPY,3,0.25,0.048312692724415185
SPY,3,0.5,0.05041188664591118
SPY,3,0.75,0.051398733963103016
SPY,3,1.0,0.053412839507159575
SPY,5,0.0,0.04527386004056294
SPY,5,0.25,0.04643430317302582
SPY,5,0.5,0.049342582739893025
SPY,5,0.75,0.05092533654785599
SPY,5,1.0,0.053412839507159575
SPY,8,0.0,0.042925944888181376
SPY,8,0.25,0.044559398509711724
SPY,8,0.5,0.04831951025375202
SPY,8,0.75,0.05020114110288006
SPY,8,1.0,0.053412839507159575
SPY,12,0.0,0.0404769554145433
SPY,12,0.25,0.04162138711763211
SPY,12,0.5,0.046676410895071886
SPY,12,0.75,0.04963360026259337
SPY,12,1.0,0.053412839507159575
SPY,18,0.0,0.03587068607094153
SPY,18,0.25,0.038954362798611676
SPY,18,0.5,0.04387140490614309
SPY,18,0.75,0.047954121105183406
SPY,18,1.0,0.053412839507159575
SPY,25,0.0,0.03151787948784425
SPY,25,0.25,0.03788158477490222
SPY,25,0.5,0.04243394142708715
SPY,25,0.75,0.047692652528117746
SPY,25,1.0,0.053412839507159575
SPY,35,0.0,0.031008829611387182
SPY,35,0.25,0.037086441489668005
SPY,35,0.5,0.042416174385017935
SPY,35,0.75,0.04768526582620649
SPY,35,1.0,0.053412839507159575
SPY,50,0.0,0.03025807010338688
SPY,50,0.25,0.036560551708681104
SPY,50,0.5,0.04075673065101391
SPY,50,0.75,0.04661374396547736
SPY,50,1.0,0.053412839507159575
QQQ,1,0.0,0.05240057346793801
QQQ,1,0.25,0.05313559007315191
QQQ,1,0.5,0.05355015818181455
QQQ,1,0.75,0.05425898927898629
QQQ,1,1.0,0.05497153170311026
QQQ,3,0.0,0.04990435617133384
QQQ,3,0.25,0.050817493061121564
QQQ,3,0.5,0.052233705393552265
QQQ,3,0.75,0.053686534405069035
QQQ,3,1.0,0.05497153170311026
QQQ,5,0.0,0.04741272063849036
QQQ,5,0.25,0.04864592825096769
QQQ,5,0.5,0.0506799228513933
QQQ,5,0.75,0.05275994269715275
QQQ,5,1.0,0.05497153170311026
QQQ,8,0.0,0.04517938128097965
QQQ,8,0.25,0.04613983200969771
QQQ,8,0.5,0.0498839393670986
QQQ,8,0.75,0.05252422966327117
QQQ,8,1.0,0.05497153170311026
QQQ,12,0.0,0.04265343653262179
QQQ,12,0.25,0.04434351982536867
QQQ,12,0.5,0.04920822949124299
QQQ,12,0.75,0.05216602130353823
QQQ,12,1.0,0.05497153170311026
QQQ,18,0.0,0.03804220229049359
QQQ,18,0.25,0.043000061726351256
QQQ,18,0.5,0.048518260122785255
QQQ,18,0.75,0.05091444120169966
QQQ,18,1.0,0.05497153170311026
QQQ,25,0.0,0.033775901857526006
QQQ,25,0.25,0.038024033380981856
QQQ,25,0.5,0.04469336181936229
QQQ,25,0.75,0.050154215431597475
QQQ,25,1.0,0.05497153170311026
QQQ,35,0.0,0.03259553106752094
QQQ,35,0.25,0.03708701017193993
QQQ,35,0.5,0.043665039967464646
QQQ,35,0.75,0.04918472611765501
QQQ,35,1.0,0.05497153170311026
QQQ,50,0.0,0.027242748379339616
QQQ,50,0.25,0.035106460809293964
QQQ,50,0.5,0.0425100433199482
QQQ,50,0.75,0.04853173780665728
QQQ,50,1.0,0.05497153170311026
IWM,1,0.0,0.054212318379919244
IWM,1,0.25,0.055300138682040534
IWM,1,0.5,0.05603694335607673
IWM,1,0.75,0.056205155452247614
IWM,1,1.0,0.05774525173729234
IWM,3,0.0,0.05164944126448382
IWM,3,0.25,0.053400322177801406
IWM,3,0.5,0.0546260637452915
IWM,3,0.75,0.05563119935439118
IWM,3,1.0,0.05774525173729234
IWM,5,0.0,0.048255021845243114
IWM,5,0.25,0.05120502438688563
IWM,5,0.5,0.05287090492108143
IWM,5,0.75,0.0548557501882096
IWM,5,1.0,0.05774525173729234
IWM,8,0.0,0.04547970979505198
IWM,8,0.25,0.048907949259217265
IWM,8,0.5,0.05196539090268875
IWM,8,0.75,0.054519281430898674
IWM,8,1.0,0.05774525173729234
IWM,12,0.0,0.04252340859238488
IWM,12,0.25,0.04611926332183019
IWM,12,0.5,0.04988166242631543
IWM,12,0.75,0.053912150615668265
IWM,12,1.0,0.05774525173729234
IWM,18,0.0,0.03966507762102609
IWM,18,0.25,0.0440520420915649
IWM,18,0.5,0.04695698444776144
IWM,18,0.75,0.052284745663954746
IWM,18,1.0,0.05774525173729234
IWM,25,0.0,0.036925314806268164
IWM,25,0.25,0.04154208814382981
IWM,25,0.5,0.04604903463691439
IWM,25,0.75,0.05147368726025318
IWM,25,1.0,0.05774525173729234
IWM,35,0.0,0.03340617930337649
IWM,35,0.25,0.039572686095623616
IWM,35,0.5,0.04375418694777567
IWM,35,0.75,0.05073172164036182
IWM,35,1.0,0.05774525173729234
IWM,50,0.0,0.031394364793830364
IWM,50,0.25,0.039644156424050635
IWM,50,0.5,0.04143384391108579
IWM,50,0.75,0.04908977336488629
IWM,50,1.0,0.05774525173729234
AAPL,1,0.0,0.05221448185253138
AAPL,1,0.25,0.05260512901657661
AAPL,1,0.5,0.05344751039969548
AAPL,1,0.75,0.05456851934319875
AAPL,1,1.0,0.05518977052225179
AAPL,3,0.0,0.05064942622226367
AAPL,3,0.25,0.05176852336250854
AAPL,3,0.5,0.05298295636134024
AAPL,3,0.75,0.05454178252018122
AAPL,3,1.0,0.05518977052225179
AAPL,5,0.0,0.047809222473533496
AAPL,5,0.25,0.04922066170482151
AAPL,5,0.5,0.0509708733776724
AAPL,5,0.75,0.05364439189547457
AAPL,5,1.0,0.05518977052225179
AAPL,8,0.0,0.04461069409908039
AAPL,8,0.25,0.0476568372645354
AAPL,8,0.5,0.049931357965447065
AAPL,8,0.75,0.05323532795502803
AAPL,8,1.0,0.05518977052225179
AAPL,12,0.0,0.043659045397528386
AAPL,12,0.25,0.04701763305080577
AAPL,12,0.5,0.04928087898647854
AAPL,12,0.75,0.053181256188177144
AAPL,12,1.0,0.05518977052225179
AAPL,18,0.0,0.03869520466107313
AAPL,18,0.25,0.043624983688286156
AAPL,18,0.5,0.04707324973164478
AAPL,18,0.75,0.05171860289618282
AAPL,18,1.0,0.05518977052225179
AAPL,25,0.0,0.03758448895566103
AAPL,25,0.25,0.04214044830643987
AAPL,25,0.5,0.04545244854735139
AAPL,25,0.75,0.04998794088854669
AAPL,25,1.0,0.05518977052225179
AAPL,35,0.0,0.03564262362326244
AAPL,35,0.25,0.04169089730326326
AAPL,35,0.5,0.04509254954703388
AAPL,35,0.75,0.04965148444707273
AAPL,35,1.0,0.05518977052225179
AAPL,50,0.0,0.03291228808003332
AAPL,50,0.25,0.037976488459385886
AAPL,50,0.5,0.043504180693679145
AAPL,50,0.75,0.04800037008055504
AAPL,50,1.0,0.05518977052225179
GOOGL,1,0.0,0.057036753685329095
GOOGL,1,0.25,0.0580917642589607
GOOGL,1,0.5,0.05849428298851627
GOOGL,1,0.75,0.06014834047639064
GOOGL,1,1.0,0.061119974228835354
GOOGL,3,0.0,0.0527024803747125
GOOGL,3,0.25,0.054636198237605356
GOOGL,3,0.5,0.056678612583222654
GOOGL,3,0.75,0.059229183626859555
GOOGL,3,1.0,0.061119974228835354
GOOGL,5,0.0,0.0496053344049578
GOOGL,5,0.25,0.052030802383237214
GOOGL,5,0.5,0.054612165466840536
GOOGL,5,0.75,0.057987753136389826
GOOGL,5,1.0,0.061119974228835354
GOOGL,8,0.0,0.04687504299761375
GOOGL,8,0.25,0.049368720620660604
GOOGL,8,0.5,0.0531558561513176
GOOGL,8,0.75,0.057234920696951276
GOOGL,8,1.0,0.061119974228835354
GOOGL,12,0.0,0.04417839249438343
GOOGL,12,0.25,0.048091806345054444
GOOGL,12,0.5,0.05151027044017661
GOOGL,12,0.75,0.05598045178904526
GOOGL,12,1.0,0.061119974228835354
GOOGL,18,0.0,0.039705264464377804
GOOGL,18,0.25,0.04660289368210224
GOOGL,18,0.5,0.0502682644085159
GOOGL,18,0.75,0.054930742346088406
GOOGL,18,1.0,0.061119974228835354
GOOGL,25,0.0,0.0371067586891228
GOOGL,25,0.25,0.04502942007467229
GOOGL,25,0.5,0.04988336550427449
GOOGL,25,0.75,0.05430916143571268
GOOGL,25,1.0,0.061119974228835354
GOOGL,35,0.0,0.03597437795990816
GOOGL,35,0.25,0.04425659485286291
GOOGL,35,0.5,0.04930053742179342
GOOGL,35,0.75,0.05368319994924504
GOOGL,35,1.0,0.061119974228835354
GOOGL,50,0.0,0.03173661401426978
GOOGL,50,0.25,0.04168403761576376
GOOGL,50,0.5,0.04771715000589307
GOOGL,50,0.75,0.05183117581596578
GOOGL,50,1.0,0.061119974228835354
BTC-USD,1,0.0,0.05689980183465867
BTC-USD,1,0.25,0.0571001627383624
BTC-USD,1,0.5,0.058638115298283076
BTC-USD,1,0.75,0.059572934421273725
BTC-USD,1,1.0,0.05980953334714761
BTC-USD,3,0.0,0.05499502448538227
BTC-USD,3,0.25,0.05569850365119928
BTC-USD,3,0.5,0.058174327961019845
BTC-USD,3,0.75,0.05920416934218184
BTC-USD,3,1.0,0.05980953334714761
BTC-USD,5,0.0,0.05158755486939909
BTC-USD,5,0.25,0.05351548237361498
BTC-USD,5,0.5,0.056748085158044415
BTC-USD,5,0.75,0.05819068985550815
BTC-USD,5,1.0,0.05980953334714761
BTC-USD,8,0.0,0.050071808245664234
BTC-USD,8,0.25,0.05170488973453389
BTC-USD,8,0.5,0.05532566471549558
