ticker,n_mu,x,skewness
QQQ,12,0.5,2.4298866275988793
QQQ,12,0.75,2.303825169687306
QQQ,12,1.0,2.2008219909911726
QQQ,18,0.0,3.4365120329429373
QQQ,18,0.25,2.963960147447749
QQQ,18,0.5,2.5190463906999443
QQQ,18,0.75,2.3717816864977217
QQQ,18,1.0,2.2008219909911726
QQQ,25,0.0,4.020187718336852
QQQ,25,0.25,3.41634790739281
QQQ,25,0.5,2.828874567669924
QQQ,25,0.75,2.4112931435672276
QQQ,25,1.0,2.2008219909911726
QQQ,35,0.0,4.308999154334714
QQQ,35,0.25,3.5597065333248668
QQQ,35,0.5,2.9090990878332215
QQQ,35,0.75,2.4558193527401495
QQQ,35,1.0,2.2008219909911726
QQQ,50,0.0,5.319046475624873
QQQ,50,0.25,3.8589478365391563
QQQ,50,0.5,3.0226146655236676
QQQ,50,0.75,2.5030046053748607
QQQ,50,1.0,2.2008219909911726
IWM,1,0.0,2.406840088909093
IWM,1,0.25,2.313676218157526
IWM,1,0.5,2.238658689855787
IWM,1,0.75,2.228328642290861
IWM,1,1.0,2.177144423470145
IWM,3,0.0,2.5632583013915498
IWM,3,0.25,2.427079391552138
IWM,3,0.5,2.3345472629777784
IWM,3,0.75,2.277695538652195
IWM,3,1.0,2.177144423470145
IWM,5,0.0,2.7907663061438175
IWM,5,0.25,2.5635867592416823
IWM,5,0.5,2.4347954854262537
IWM,5,0.75,2.314593551203199
IWM,5,1.0,2.177144423470145
IWM,8,0.0,2.9610424231487826
IWM,8,0.25,2.6528616062655455
IWM,8,0.5,2.494896537036888
IWM,8,0.75,2.323272822168176
IWM,8,1.0,2.177144423470145
IWM,12,0.0,3.1322365165377484
IWM,12,0.25,2.805215241232119
IWM,12,0.5,2.547579935202717
IWM,12,0.75,2.3478543526901188
IWM,12,1.0,2.177144423470145
IWM,18,0.0,3.145698645838183
IWM,18,0.25,2.6774872247718684
IWM,18,0.5,2.7313647613140706
IWM,18,0.75,2.4056808823950924
IWM,18,1.0,2.177144423470145
IWM,25,0.0,3.5159971530225693
IWM,25,0.25,2.977951464774582
IWM,25,0.5,2.7430648248156504
IWM,25,0.75,2.4299319532160317
IWM,25,1.0,2.177144423470145
IWM,35,0.0,3.9317760933599692
IWM,35,0.25,3.0799851870342203
IWM,35,0.5,2.8352726785142317
IWM,35,0.75,2.5188208013715614
IWM,35,1.0,2.177144423470145
IWM,50,0.0,4.4309044145365055
IWM,50,0.25,3.1477168662890356
IWM,50,0.5,3.0674170384660973
IWM,50,0.75,2.594161439836869
IWM,50,1.0,2.177144423470145
AAPL,1,0.0,2.666398741782601
AAPL,1,0.25,2.6343047146313494
AAPL,1,0.5,2.5427140684389076
AAPL,1,0.75,2.4363592305141846
AAPL,1,1.0,2.4133879547937145
AAPL,3,0.0,2.7561400637894007
AAPL,3,0.25,2.670573562198493
AAPL,3,0.5,2.561151718963781
AAPL,3,0.75,2.412620748282322
AAPL,3,1.0,2.4133879547937145
AAPL,5,0.0,2.906614442702626
AAPL,5,0.25,2.7864631330746223
AAPL,5,0.5,2.6694664637936394
AAPL,5,0.75,2.472223462056373
AAPL,5,1.0,2.4133879547937145
AAPL,8,0.0,3.133513336723793
AAPL,8,0.25,2.9042624285119696
AAPL,8,0.5,2.768470658185348
AAPL,8,0.75,2.5164714729187203
AAPL,8,1.0,2.4133879547937145
AAPL,12,0.0,3.300872963585352
AAPL,12,0.25,3.007745536727779
AAPL,12,0.5,2.7578484638658796
AAPL,12,0.75,2.478401149731601
AAPL,12,1.0,2.4133879547937145
AAPL,18,0.0,3.760711110038489
AAPL,18,0.25,3.2397660380906004
AAPL,18,0.5,2.927531022549516
AAPL,18,0.75,2.5809986370397087
