ticker,n_mu,x,payoff_ratio
GOOGL,12,1.0,1.3106880202273592
GOOGL,18,0.0,1.1540958589063222
GOOGL,18,0.25,1.1961715185612
GOOGL,18,0.5,1.2531925911908515
GOOGL,18,0.75,1.3060119362410745
GOOGL,18,1.0,1.3106880202273592
GOOGL,25,0.0,1.1542056598010741
GOOGL,25,0.25,1.2113229492344402
GOOGL,25,0.5,1.2589830084191445
GOOGL,25,0.75,1.310395654015103
GOOGL,25,1.0,1.3106880202273592
GOOGL,35,0.0,1.1269056213481037
GOOGL,35,0.25,1.1941599366255582
GOOGL,35,0.5,1.2545406749683823
GOOGL,35,0.75,1.3152696813940856
GOOGL,35,1.0,1.3106880202273592
GOOGL,50,0.0,1.1011246541665045
GOOGL,50,0.25,1.1714493776705013
GOOGL,50,0.5,1.2362954362274372
GOOGL,50,0.75,1.3252711875758412
GOOGL,50,1.0,1.3106880202273592
BTC-USD,1,0.0,1.3434196176662399
BTC-USD,1,0.25,1.3394139325910999
BTC-USD,1,0.5,1.330024087731067
BTC-USD,1,0.75,1.3256164311261738
BTC-USD,1,1.0,1.3235359671873457
BTC-USD,3,0.0,1.3268211693052696
BTC-USD,3,0.25,1.3245719065598403
BTC-USD,3,0.5,1.3209625091460897
BTC-USD,3,0.75,1.3262081855527887
BTC-USD,3,1.0,1.3235359671873457
BTC-USD,5,0.0,1.303351819318901
BTC-USD,5,0.25,1.3246027951102421
BTC-USD,5,0.5,1.3317224677980024
BTC-USD,5,0.75,1.3336366865515394
BTC-USD,5,1.0,1.3235359671873457
BTC-USD,8,0.0,1.2899453824481217
BTC-USD,8,0.25,1.3165042164573686
BTC-USD,8,0.5,1.3306816784265076
BTC-USD,8,0.75,1.3214268433100667
BTC-USD,8,1.0,1.3235359671873457
BTC-USD,12,0.0,1.2650848887739001
BTC-USD,12,0.25,1.3081024326092159
BTC-USD,12,0.5,1.3280898369410397
BTC-USD,12,0.75,1.3168581922621532
BTC-USD,12,1.0,1.3235359671873457
BTC-USD,18,0.0,1.2180785665161604
BTC-USD,18,0.25,1.2758564183147352
BTC-USD,18,0.5,1.3054189900603073
BTC-USD,18,0.75,1.305057581995387
BTC-USD,18,1.0,1.3235359671873457
BTC-USD,25,0.0,1.186230690221656
BTC-USD,25,0.25,1.2662133053963112
BTC-USD,25,0.5,1.2865073024225506
BTC-USD,25,0.75,1.2895253686389325
BTC-USD,25,1.0,1.3235359671873457
BTC-USD,35,0.0,1.1828117066479422
BTC-USD,35,0.25,1.2536244064310402
BTC-USD,35,0.5,1.2641459684029408
BTC-USD,35,0.75,1.287201500104344
BTC-USD,35,1.0,1.3235359671873457
BTC-USD,50,0.0,1.1354904229960947
BTC-USD,50,0.25,1.213011044637691
BTC-USD,50,0.5,1.2759267735150592
BTC-USD,50,0.75,1.2928145998596479
BTC-USD,50,1.0,1.3235359671873457
ETH-USD,1,0.0,1.3262176426025414
ETH-USD,1,0.25,1.3201469379078816
ETH-USD,1,0.5,1.305547114368622
ETH-USD,1,0.75,1.2918242459704656
ETH-USD,1,1.0,1.289158727661525
ETH-USD,3,0.0,1.3065421989213961
ETH-USD,3,0.25,1.308651541466584
ETH-USD,3,0.5,1.2947076002736657
ETH-USD,3,0.75,1.295732300494167
ETH-USD,3,1.0,1.289158727661525
ETH-USD,5,0.0,1.291680625138797
ETH-USD,5,0.25,1.2807250508093952
ETH-USD,5,0.5,1.2792067331662564
ETH-USD,5,0.75,1.2906922803453456
ETH-USD,5,1.0,1.289158727661525
ETH-USD,8,0.0,1.2718659664797503
ETH-USD,8,0.25,1.2794767574728192
ETH-USD,8,0.5,1.2705622745105989
ETH-USD,8,0.75,1.2737298285886947
ETH-USD,8,1.0,1.289158727661525
ETH-USD,12,0.0,1.2481816972052868
ETH-USD,12,0.25,1.2514129975682236
ETH-USD,12,0.5,1.248792091216245
ETH-USD,12,0.75,1.2613327658722098
ETH-USD,12,1.0,1.289158727661525
ETH-USD,18,0.0,1.210634392101669
ETH-USD,18,0.25,1.2255707905119997
ETH-USD,18,0.5,1.1545775290861668
ETH-USD,18,0.75,1.1926258785814012
ETH-USD,18,1.0,1.289158727661525
ETH-USD,25,0.0,1.2051835363069396
ETH-USD,25,0.25,1.2072059780556927
ETH-USD,25,0.5,1.1272206030756848
ETH-USD,25,0.75,1.1550834496979243
ETH-USD,25,1.0,1.289158727661525
ETH-USD,35,0.0,1.1727960409490288
ETH-USD,35,0.25,1.0630247758023648
ETH-USD,35,0.5,1.0681392545106305
ETH-USD,35,0.75,1.0927058216080154
ETH-USD,35,1.0,1.289158727661525
ETH-USD,50,0.0,1.1505974470929823
ETH-USD,50,0.25,1.1910586930264595
ETH-USD,50,0.5,1.190288721078456
ETH-USD,50,0.75,1.226894297528157
ETH-USD,50,1.0,1.289158727661525
GLD,1,0.0,1.3868789068004095
GLD,1,0.25,1.380717607794167
GLD,1,0.5,1.372466731785331
GLD,1,0.75,1.3605056200537067
GLD,1,1.0,1.3431528586502148
GLD,3,0.0,1.385418763077545
GLD,3,0.25,1.3787524130012399
GLD,3,0.5,1.3695141955820336
GLD,3,0.75,1.3578320540500757
GLD,3,1.0,1.3431528586502148
GLD,5,0.0,1.3477794546584982
GLD,5,0.25,1.353068692235019
