ticker,n_mu,x,calmar
AAPL,25,0.75,0.16481589913417496
AAPL,25,1.0,0.35397450355523
AAPL,35,0.0,0.05875812770409263
AAPL,35,0.25,0.018145786196978847
AAPL,35,0.5,0.054051635883842264
AAPL,35,0.75,0.11786224314390113
AAPL,35,1.0,0.35397450355523
AAPL,50,0.0,0.14201878663806952
AAPL,50,0.25,0.11625270599370842
AAPL,50,0.5,0.11639709010916667
AAPL,50,0.75,0.16920383457639884
AAPL,50,1.0,0.35397450355523
GOOGL,1,0.0,-0.004702923125705592
GOOGL,1,0.25,0.011183440658001783
GOOGL,1,0.5,0.022715745952793676
GOOGL,1,0.75,0.010255159713670881
GOOGL,1,1.0,0.008464924528338342
GOOGL,3,0.0,0.10479177841715288
GOOGL,3,0.25,0.1161242671457731
GOOGL,3,0.5,0.07048864587768629
GOOGL,3,0.75,0.025712132950870378
GOOGL,3,1.0,0.008464924528338342
GOOGL,5,0.0,0.0879637021055346
GOOGL,5,0.25,0.11629058564902757
GOOGL,5,0.5,0.07978501568171656
GOOGL,5,0.75,0.03380542544162426
GOOGL,5,1.0,0.008464924528338342
GOOGL,8,0.0,0.08210039105433801
GOOGL,8,0.25,0.14700157303267886
GOOGL,8,0.5,0.14136241620104947
GOOGL,8,0.75,0.07475844961783999
GOOGL,8,1.0,0.008464924528338342
GOOGL,12,0.0,0.12281891409512226
GOOGL,12,0.25,0.09445834950412292
GOOGL,12,0.5,0.09715553450937063
GOOGL,12,0.75,0.07082091849566903
GOOGL,12,1.0,0.008464924528338342
GOOGL,18,0.0,0.09720937843486012
GOOGL,18,0.25,0.05917413060088472
GOOGL,18,0.5,0.1160708027642114
GOOGL,18,0.75,0.025548877897231814
GOOGL,18,1.0,0.008464924528338342
GOOGL,25,0.0,0.14034720713720908
GOOGL,25,0.25,0.025761985666200204
GOOGL,25,0.5,0.06160690204602747
GOOGL,25,0.75,0.02128986890956704
GOOGL,25,1.0,0.008464924528338342
GOOGL,35,0.0,0.09672480511281001
GOOGL,35,0.25,0.006756932651921545
GOOGL,35,0.5,0.07240990598357191
GOOGL,35,0.75,0.010922527638919278
GOOGL,35,1.0,0.008464924528338342
GOOGL,50,0.0,0.21172852631681102
GOOGL,50,0.25,0.013631275186426914
GOOGL,50,0.5,0.04841289165452692
GOOGL,50,0.75,0.033543801834370036
GOOGL,50,1.0,0.008464924528338342
BTC-USD,1,0.0,0.4294187333202779
BTC-USD,1,0.25,0.48724311793337066
BTC-USD,1,0.5,0.4443437612076306
BTC-USD,1,0.75,0.44798334044221816
BTC-USD,1,1.0,0.4785065224161225
BTC-USD,3,0.0,0.36584295070116085
BTC-USD,3,0.25,0.4889864804799747
BTC-USD,3,0.5,0.4144006440785383
BTC-USD,3,0.75,0.48774997228340333
BTC-USD,3,1.0,0.4785065224161225
BTC-USD,5,0.0,0.3418214639754684
BTC-USD,5,0.25,0.5084732267713785
BTC-USD,5,0.5,0.3805173343246773
BTC-USD,5,0.75,0.4587312623063073
BTC-USD,5,1.0,0.4785065224161225
BTC-USD,8,0.0,0.2996463616296659
BTC-USD,8,0.25,0.5007429203545021
BTC-USD,8,0.5,0.3431377215471894
BTC-USD,8,0.75,0.40383690195237404
BTC-USD,8,1.0,0.4785065224161225
BTC-USD,12,0.0,0.23558562046090906
BTC-USD,12,0.25,0.644408126594438
BTC-USD,12,0.5,0.3510012839026129
BTC-USD,12,0.75,0.41473379696548096
BTC-USD,12,1.0,0.4785065224161225
BTC-USD,18,0.0,0.20388870815221227
BTC-USD,18,0.25,0.5294009048181246
BTC-USD,18,0.5,0.3719271763985113
BTC-USD,18,0.75,0.4159612764376904
BTC-USD,18,1.0,0.4785065224161225
BTC-USD,25,0.0,0.2768693921893261
BTC-USD,25,0.25,0.5594628788298205
BTC-USD,25,0.5,0.2966228307494516
BTC-USD,25,0.75,0.3167618491420848
BTC-USD,25,1.0,0.4785065224161225
BTC-USD,35,0.0,0.2276814713757442
BTC-USD,35,0.25,0.5682615816507693
BTC-USD,35,0.5,0.32866600351503633
BTC-USD,35,0.75,0.3855105300909576
BTC-USD,35,1.0,0.4785065224161225
BTC-USD,50,0.0,0.25877607248815093
BTC-USD,50,0.25,0.363909638744958
BTC-USD,50,0.5,0.3708959033871732
BTC-USD,50,0.75,0.4057720820354919
BTC-USD,50,1.0,0.4785065224161225
ETH-USD,1,0.0,0.5726806690856808
ETH-USD,1,0.25,0.546677972386906
ETH-USD,1,0.5,0.527840843840708
ETH-USD,1,0.75,0.5025406605673918
ETH-USD,1,1.0,0.49791370821795894
ETH-USD,3,0.0,0.5855280835741593
ETH-USD,3,0.25,0.5654627033568213
ETH-USD,3,0.5,0.591000490368828
ETH-USD,3,0.75,0.6090010425248213
ETH-USD,3,1.0,0.49791370821795894
ETH-USD,5,0.0,0.4784939129066958
ETH-USD,5,0.25,0.4373029382071656
ETH-USD,5,0.5,0.48752322186566294
ETH-USD,5,0.75,0.5378008586897699
ETH-USD,5,1.0,0.49791370821795894
ETH-USD,8,0.0,0.3588237191729689
ETH-USD,8,0.25,0.3888177079670366
ETH-USD,8,0.5,0.3983172658061034
ETH-USD,8,0.75,0.40322892477478894
ETH-USD,8,1.0,0.49791370821795894
ETH-USD,12,0.0,0.4389091233253511
ETH-USD,12,0.25,0.39365086851609593
ETH-USD,12,0.5,0.35483540215420745
ETH-USD,12,0.75,0.3196670337139989
ETH-USD,12,1.0,0.49791370821795894
ETH-USD,18,0.0,0.3587370850032692
ETH-USD,18,0.25,0.4275443027361346
ETH-USD,18,0.5,0.42130563259831655
ETH-USD,18,0.75,0.42450883225564723
ETH-USD,18,1.0,0.49791370821795894
ETH-USD,25,0.0,0.3193082550186215
ETH-USD,25,0.25,0.27404726510288285
ETH-USD,25,0.5,0.3849344700505304
ETH-USD,25,0.75,0.4477685571734987
ETH-USD,25,1.0,0.49791370821795894
ETH-USD,35,0.0,0.19466796985469878
ETH-USD,35,0.25,0.13900830059585967
ETH-USD,35,0.5,0.28795361311516
ETH-USD,35,0.75,0.3981823138766344
ETH-USD,35,1.0,0.49791370821795894
ETH-USD,50,0.0,0.25370458508749866
ETH-USD,50,0.25,0.16780137453866173
ETH-USD,50,0.5,0.137084354122853
ETH-USD,50,0.75,0.36842293859685876
ETH-USD,50,1.0,0.49791370821795894
GLD,1,0.0,0.1295197804188237
GLD,1,0.25,0.10681185562392949
GLD,1,0.5,0.16446628591652412
GLD,1,0.75,0.15880892163996121
GLD,1,1.0,0.11056107354893858
GLD,3,0.0,0.09873827267857532
GLD,3,0.25,0.08552811393409658
GLD,3,0.5,0.16747247420739197
GLD,3,0.75,0.15917973256463716
GLD,3,1.0,0.11056107354893858
GLD,5,0.0,0.15711842092740005
GLD,5,0.25,0.10299621038858957
GLD,5,0.5,0.14751755116816537
GLD,5,0.75,0.13458126864068068
GLD,5,1.0,0.11056107354893858
GLD,8,0.0,0.10499122533253848
GLD,8,0.25,0.04089862910502955
GLD,8,0.5,0.10686405725551758
GLD,8,0.75,0.11637651255119025
GLD,8,1.0,0.11056107354893858
GLD,12,0.0,0.25470777967401964
GLD,12,0.25,0.09463020465659826
GLD,12,0.5,0.12963352676812617
GLD,12,0.75,0.05402758490096126
GLD,12,1.0,0.11056107354893858
GLD,18,0.0,0.15079714074786793
GLD,18,0.25,0.03696051283241569
GLD,18,0.5,0.10763871422386188
GLD,18,0.75,0.01701779431560378
GLD,18,1.0,0.11056107354893858
GLD,25,0.0,0.11443720689117803
GLD,25,0.25,0.03575977574860883
GLD,25,0.5,0.14138183215933062
GLD,25,0.75,0.05014803038419822
GLD,25,1.0,0.11056107354893858
GLD,35,0.0,0.09064520674103475
GLD,35,0.25,-0.013734141312757535
GLD,35,0.5,0.12055903209659348
GLD,35,0.75,0.051777014640479735
GLD,35,1.0,0.11056107354893858
GLD,50,0.0,0.1332762967090976
GLD,50,0.25,0.053666621346012446
GLD,50,0.5,0.1410602144178005
GLD,50,0.75,0.0331495930004346
GLD,50,1.0,0.11056107354893858
SLV,1,0.0,-0.09848836466145984
SLV,1,0.25,-0.11475290360759056
SLV,1,0.5,-0.09874600891736145
SLV,1,0.75,-0.08966393422726661
SLV,1,1.0,-0.0816269647979356
SLV,3,0.0,-0.10801894041940767
SLV,3,0.25,-0.11692777387459535
SLV,3,0.5,-0.10913815823427214
SLV,3,0.75,-0.09205097623050662
SLV,3,1.0,-0.0816269647979356
SLV,5,0.0,-0.07856016364368354
SLV,5,0.25,-0.0876770453524226
SLV,5,0.5,-0.0664790072890638
SLV,5,0.75,-0.07197196278604644
SLV,5,1.0,-0.0816269647979356
