ticker,n_mu,x,sharpe
SPY,1,0.0,0.6744586781072002
SPY,1,0.25,0.7142431784000033
SPY,1,0.5,0.7257422624518127
SPY,1,0.75,0.7483192701416285
SPY,1,1.0,0.7565962801573692
SPY,3,0.0,0.674189245808548
SPY,3,0.25,0.7103620171225081
SPY,3,0.5,0.7400359210967649
SPY,3,0.75,0.7694742012331764
SPY,3,1.0,0.7565962801573692
SPY,5,0.0,0.622330864148786
SPY,5,0.25,0.6786330735385858
SPY,5,0.5,0.7294326819083553
SPY,5,0.75,0.7623349559668435
SPY,5,1.0,0.7565962801573692
SPY,8,0.0,0.5945716364109787
SPY,8,0.25,0.6699989587852765
SPY,8,0.5,0.7240808782566569
SPY,8,0.75,0.7404910564059511
SPY,8,1.0,0.7565962801573692
SPY,12,0.0,0.5756367274778139
SPY,12,0.25,0.6639131842161653
SPY,12,0.5,0.7304051911735275
SPY,12,0.75,0.7363493734111981
SPY,12,1.0,0.7565962801573692
SPY,18,0.0,0.4795982767179925
SPY,18,0.25,0.5722109262865837
SPY,18,0.5,0.6593908388407091
SPY,18,0.75,0.6672488024784969
SPY,18,1.0,0.7565962801573692
SPY,25,0.0,0.4607146889052898
SPY,25,0.25,0.5330630016653771
SPY,25,0.5,0.6351857620974212
SPY,25,0.75,0.63776831505888
SPY,25,1.0,0.7565962801573692
SPY,35,0.0,0.43891803655292366
SPY,35,0.25,0.4848901373382592
SPY,35,0.5,0.562315217289931
SPY,35,0.75,0.6116957423875028
SPY,35,1.0,0.7565962801573692
SPY,50,0.0,0.4357054238914449
SPY,50,0.25,0.4332874244452647
SPY,50,0.5,0.5211533613278726
SPY,50,0.75,0.5923448445376366
SPY,50,1.0,0.7565962801573692
QQQ,1,0.0,0.7238473113143975
QQQ,1,0.25,0.7328492701661967
QQQ,1,0.5,0.7589090406509674
QQQ,1,0.75,0.759344269419019
QQQ,1,1.0,0.7660227958097635
QQQ,3,0.0,0.7049107635518803
QQQ,3,0.25,0.7231188028588366
QQQ,3,0.5,0.7594170518226527
QQQ,3,0.75,0.7466475360664847
QQQ,3,1.0,0.7660227958097635
QQQ,5,0.0,0.6794188215078706
QQQ,5,0.25,0.6950143113505859
QQQ,5,0.5,0.7170135950212622
QQQ,5,0.75,0.7370041089569259
QQQ,5,1.0,0.7660227958097635
QQQ,8,0.0,0.6065567609527492
QQQ,8,0.25,0.6515821052113223
QQQ,8,0.5,0.6582965593269644
QQQ,8,0.75,0.7107608412209125
QQQ,8,1.0,0.7660227958097635
QQQ,12,0.0,0.5377999827186465
QQQ,12,0.25,0.597303660134369
QQQ,12,0.5,0.5898571926656799
QQQ,12,0.75,0.6770115295382887
QQQ,12,1.0,0.7660227958097635
QQQ,18,0.0,0.504068569317094
QQQ,18,0.25,0.5474798382817516
QQQ,18,0.5,0.5736293168296288
QQQ,18,0.75,0.6756209980024566
QQQ,18,1.0,0.7660227958097635
QQQ,25,0.0,0.4522990899805686
QQQ,25,0.25,0.5304135544472769
QQQ,25,0.5,0.6078648546826179
QQQ,25,0.75,0.6365783617269435
QQQ,25,1.0,0.7660227958097635
QQQ,35,0.0,0.45128752485607776
QQQ,35,0.25,0.4896871748457936
QQQ,35,0.5,0.5994192210117765
QQQ,35,0.75,0.6146920689675898
QQQ,35,1.0,0.7660227958097635
QQQ,50,0.0,0.4471409894764415
QQQ,50,0.25,0.5083275607574046
QQQ,50,0.5,0.5900584796113467
QQQ,50,0.75,0.6036325017993355
QQQ,50,1.0,0.7660227958097635
IWM,1,0.0,0.5689522343531415
IWM,1,0.25,0.5626389903229579
IWM,1,0.5,0.5495308372763762
IWM,1,0.75,0.5804304294004478
IWM,1,1.0,0.6164881905774439
IWM,3,0.0,0.5550631363692711
IWM,3,0.25,0.5518836405438798
IWM,3,0.5,0.5488350989597655
IWM,3,0.75,0.5926984313633886
IWM,3,1.0,0.6164881905774439
IWM,5,0.0,0.5482811292690389
IWM,5,0.25,0.557001259938141
IWM,5,0.5,0.5581682053200916
IWM,5,0.75,0.5868307765806636
IWM,5,1.0,0.6164881905774439
IWM,8,0.0,0.5236108535584233
IWM,8,0.25,0.5241485324981275
IWM,8,0.5,0.5478129054352167
IWM,8,0.75,0.5599414643968804
IWM,8,1.0,0.6164881905774439
IWM,12,0.0,0.4378224520409943
IWM,12,0.25,0.46111765940630195
IWM,12,0.5,0.48288464329881825
IWM,12,0.75,0.5546088434455926
IWM,12,1.0,0.6164881905774439
IWM,18,0.0,0.3707232090783092
IWM,18,0.25,0.37562549948307583
IWM,18,0.5,0.4862549665904818
IWM,18,0.75,0.5460802924601241
IWM,18,1.0,0.6164881905774439
IWM,25,0.0,0.2672117912312111
IWM,25,0.25,0.332489553574635
IWM,25,0.5,0.4035830541577088
IWM,25,0.75,0.503582065293723
IWM,25,1.0,0.6164881905774439
IWM,35,0.0,0.2908581028688206
IWM,35,0.25,0.3181984248713738
IWM,35,0.5,0.3764818712778813
IWM,35,0.75,0.4864229173831444
IWM,35,1.0,0.6164881905774439
IWM,50,0.0,0.44171888941969334
IWM,50,0.25,0.39195605144686924
IWM,50,0.5,0.4035963206401533
IWM,50,0.75,0.5163884727333866
IWM,50,1.0,0.6164881905774439
AAPL,1,0.0,0.7975739135403764
AAPL,1,0.25,0.8076034108916209
AAPL,1,0.5,0.8170811577469655
AAPL,1,0.75,0.8254781250292025
AAPL,1,1.0,0.8632456772685879
AAPL,3,0.0,0.7662879454612246
AAPL,3,0.25,0.79584742632041
AAPL,3,0.5,0.8066861197369964
AAPL,3,0.75,0.802021545978271
AAPL,3,1.0,0.8632456772685879
AAPL,5,0.0,0.7121040355491332
