ticker,n_mu,x,profit_factor
IWM,12,0.25,1.3097152658165994
IWM,12,0.5,1.324152416768562
IWM,12,0.75,1.3611251904548787
IWM,12,1.0,1.3831659731957826
IWM,18,0.0,1.2421224615779904
IWM,18,0.25,1.2683429951036842
IWM,18,0.5,1.3218571130566816
IWM,18,0.75,1.3591222706495822
IWM,18,1.0,1.3831659731957826
IWM,25,0.0,1.1929804202312617
IWM,25,0.25,1.2449318320137719
IWM,25,0.5,1.2891838201845014
IWM,25,0.75,1.3439635563725505
IWM,25,1.0,1.3831659731957826
IWM,35,0.0,1.1865366293130684
IWM,35,0.25,1.2300227601986717
IWM,35,0.5,1.2697224228562456
IWM,35,0.75,1.3379174940898106
IWM,35,1.0,1.3831659731957826
IWM,50,0.0,1.2464041766123488
IWM,50,0.25,1.256551435435138
IWM,50,0.5,1.2729543889252064
IWM,50,0.75,1.348307702195516
IWM,50,1.0,1.3831659731957826
AAPL,1,0.0,1.4039604616302206
AAPL,1,0.25,1.4084610769480435
AAPL,1,0.5,1.4116894115284275
AAPL,1,0.75,1.4148828478398825
AAPL,1,1.0,1.430411632062311
AAPL,3,0.0,1.391016265419438
AAPL,3,0.25,1.403575229670933
AAPL,3,0.5,1.4072597617237648
AAPL,3,0.75,1.4060312202780871
AAPL,3,1.0,1.430411632062311
AAPL,5,0.0,1.3646579230219356
AAPL,5,0.25,1.3750747105548415
AAPL,5,0.5,1.3863509404192078
AAPL,5,0.75,1.4017478776243062
AAPL,5,1.0,1.430411632062311
AAPL,8,0.0,1.3483002396236898
AAPL,8,0.25,1.3782462221715261
AAPL,8,0.5,1.3867964352137847
AAPL,8,0.75,1.4049638753758515
AAPL,8,1.0,1.430411632062311
AAPL,12,0.0,1.3393624842812362
AAPL,12,0.25,1.3734119606740631
AAPL,12,0.5,1.3725804785710427
AAPL,12,0.75,1.3931173460397634
AAPL,12,1.0,1.430411632062311
AAPL,18,0.0,1.3114544953382221
AAPL,18,0.25,1.3507030663187731
AAPL,18,0.5,1.372571713484179
AAPL,18,0.75,1.3861586169852267
AAPL,18,1.0,1.430411632062311
AAPL,25,0.0,1.2425678137650906
AAPL,25,0.25,1.2740225967199614
AAPL,25,0.5,1.3286348610557428
AAPL,25,0.75,1.3705650896505535
AAPL,25,1.0,1.430411632062311
AAPL,35,0.0,1.2213306677385545
AAPL,35,0.25,1.2547360779232892
AAPL,35,0.5,1.2918151562686582
AAPL,35,0.75,1.3500220310098543
AAPL,35,1.0,1.430411632062311
AAPL,50,0.0,1.2219420885215013
AAPL,50,0.25,1.258581557583131
AAPL,50,0.5,1.3052981379680315
AAPL,50,0.75,1.356437801102431
AAPL,50,1.0,1.430411632062311
GOOGL,1,0.0,1.3472066774286429
GOOGL,1,0.25,1.3561834221505624
GOOGL,1,0.5,1.3614191797129631
GOOGL,1,0.75,1.3611056091090716
GOOGL,1,1.0,1.3629453297548009
GOOGL,3,0.0,1.3618486502859255
GOOGL,3,0.25,1.369114394210282
GOOGL,3,0.5,1.3676918675344139
GOOGL,3,0.75,1.3632188821057951
GOOGL,3,1.0,1.3629453297548009
GOOGL,5,0.0,1.3399935012966881
GOOGL,5,0.25,1.3586848847027388
GOOGL,5,0.5,1.359920732878571
GOOGL,5,0.75,1.3615040238179985
GOOGL,5,1.0,1.3629453297548009
GOOGL,8,0.0,1.3252762489747554
GOOGL,8,0.25,1.3492919062898208
